114,tcp,32.8,Yes,No,12.201,1.05,1.04,1.01,1.01,1.00,1.03,1.96,1.05,1.00,1.00,1.05
114,udp,15.6,Yes,No,12.080,1.05,1.04,1.01,1.01,1.00,1.00,1.86,1.05,1.00,1.00,1.05
adguard,rfc8484,721.4,No,No,179.825,32.71,29.50,29.87,13.54,21.69,24.19,5.18,2.75,11.77,7.54,1.08
adguard,tcp,143.8,No,No,1637.695,835.57,753.50,4.60,8.53,4.70,11.48,2.57,2.75,11.77,1.15,1.08
adguard,tls,282.8,No,No,1637.737,835.57,753.50,4.60,8.53,4.70,11.48,2.57,2.75,11.77,1.20,1.08
adguard,udp,109.0,Yes,No,1637.766,835.57,753.50,4.71,8.53,4.70,11.48,2.57,2.75,11.77,1.11,1.08
alidns,rfc8484,99.0,Yes,Yes,13.425,1.05,1.04,1.01,1.01,1.00,1.03,3.18,1.05,1.00,1.00,1.05
alidns,tcp,16.6,Yes,Yes,13.425,1.05,1.04,1.01,1.01,1.00,1.03,3.18,1.05,1.00,1.00,1.05
alidns,tls,74.8,Yes,Yes,13.287,1.05,1.04,1.01,1.01,1.00,1.03,3.04,1.05,1.00,1.00,1.05
alidns,udp,8.6,Yes,Yes,13.425,1.05,1.04,1.01,1.01,1.00,1.03,3.18,1.05,1.00,1.00,1.05
baidu,udp,98.4,Yes,No,14.689,1.05,1.04,1.01,1.01,1.00,1.00,1.96,1.05,3.51,1.00,1.05
cloudflare,rfc8484,581.6,No,No,170.320,23.35,29.50,31.39,13.54,21.69,24.19,5.18,2.75,11.77,5.87,1.08
cloudflare,tcp,71.8,No,No,54.443,5.70,5.14,10.86,2.98,4.70,4.98,2.16,2.75,11.77,2.33,1.08
cloudflare,tls,181.8,No,No,53.376,5.70,5.14,10.86,2.98,4.70,4.98,1.09,2.75,11.77,2.33,1.08
cloudflare,udp,33.4,Yes,No,54.443,5.70,5.14,10.86,2.98,4.70,4.98,2.16,2.75,11.77,2.33,1.08
cnnic,udp,12.0,No,Yes,25.071,2.30,2.29,4.89,1.01,4.31,2.43,3.73,1.05,1.00,1.00,1.05
comodo,tcp,174.2,No,Yes,1636.001,835.57,753.50,4.49,8.53,4.70,11.48,1.03,2.75,11.77,1.11,1.08
comodo,udp,104.0,Yes,Yes,1637.330,835.57,753.50,4.71,8.53,4.70,11.48,2.13,2.75,11.77,1.11,1.08
containerpi,google,1115.4,No,No,103.926,18.41,24.48,15.73,9.80,13.20,1.00,3.69,2.75,11.77,2.02,1.08
containerpi,rfc8484,1202.4,No,No,101.506,13.47,24.48,15.73,9.80,13.20,4.85,2.35,2.75,11.77,2.02,1.08
containerpi,tls,239.4,No,No,94.712,13.47,19.46,14.98,9.80,4.70,8.70,2.94,2.75,11.77,5.06,1.08
dnslify,rfc8484,628.4,No,No,4549.124,23.35,21.06,31.39,874.28,1393.53,1506.02,6.48,2.75,11.77,342.28,336.20
dnslify,tcp,150.2,No,No,1637.766,835.57,753.50,4.71,8.53,4.70,11.48,2.57,2.75,11.77,1.11,1.08
dnslify,udp,101.8,Yes,No,1639.004,835.57,753.50,4.71,8.53,4.70,11.48,2.57,2.75,11.77,2.35,1.08
dnspai,udp,7.0,Yes,Yes,16.301,1.05,1.04,1.01,1.01,1.00,1.00,6.09,1.05,1.00,1.00,1.05
dnspod,tcp,110.0,Yes,No,33.425,5.42,4.83,4.89,2.75,4.62,4.84,1.96,1.05,1.00,1.00,1.05
dnspod,udp,8.2,Yes,Yes,18.081,1.05,1.04,1.01,1.01,1.00,1.00,2.84,1.05,6.03,1.00,1.05
dns-watch,tcp,552.6,No,Yes,170.356,33.41,30.13,33.65,2.98,4.70,34.14,6.24,2.75,11.77,9.50,1.08
dns-watch,udp,233.0,Yes,Yes,172.213,33.41,30.13,33.65,2.98,4.70,34.14,8.10,2.75,11.77,9.50,1.08
doh.li,rfc8484,1252.2,No,Yes,183.127,32.71,29.50,32.00,13.54,21.69,24.19,6.79,2.75,11.77,7.10,1.08
doh.li,tls,656.6,No,Yes,1612.801,6.48,39.60,32.00,1.01,4.31,1506.02,6.79,2.75,11.77,1.00,1.05
dyn,tcp,67.6,No,Yes,23.946,1.05,1.04,4.71,1.01,1.00,1.05,2.89,2.75,6.38,1.00,1.05
dyn,udp,47.4,Yes,Yes,22.174,1.05,1.04,4.71,1.01,1.00,1.00,1.03,2.75,6.38,1.15,1.05
freedns,udp,210.6,Yes,Yes,185.690,33.41,39.00,36.71,13.54,4.70,29.10,6.08,2.75,11.77,7.54,1.08
freenom,tcp,158.2,No,Yes,1641.897,835.57,753.50,4.49,8.53,4.70,11.48,5.58,2.75,11.77,2.46,1.08
freenom,udp,107.4,Yes,Yes,1638.447,835.57,753.50,4.49,8.53,4.70,11.48,2.13,2.75,11.77,2.46,1.08
google,google,658.4,No,Yes,144.597,28.03,29.50,29.87,13.54,21.69,1.00,4.36,2.75,11.77,1.00,1.08
google,rfc8484,591.2,No,No,146.080,28.03,29.50,29.87,13.54,21.69,1.00,5.84,2.75,11.77,1.00,1.08
google,tcp,130.0,No,Yes,31.304,1.05,1.04,1.01,13.54,1.00,1.03,3.14,1.05,6.38,1.00,1.05
google,tls,230.0,No,Yes,29.943,1.05,1.04,1.01,13.54,2.85,1.05,5.29,1.05,1.00,1.00,1.05
google,udp,86.0,Yes,Yes,29.928,1.05,1.04,1.01,10.02,1.00,1.03,5.29,1.05,6.38,1.00,1.05
he,rfc8484,not available
he,tcp,756.6,No,No,153.591,23.35,18.81,27.74,13.54,21.69,20.42,5.11,2.75,11.77,7.33,1.08
he,udp,200.4,Yes,No,153.591,23.35,18.81,27.74,13.54,21.69,20.42,5.11,2.75,11.77,7.33,1.08
neustar,tcp,114.4,No,Yes,42.535,1.05,1.04,17.07,13.54,1.00,1.11,3.62,1.05,1.00,1.00,1.05
neustar,udp,9.0,No,Yes,42.535,1.05,1.04,17.07,13.54,1.00,1.11,3.62,1.05,1.00,1.00,1.05
nextdns,rfc8484,619.8,No,No,164.676,28.03,25.28,28.81,13.54,21.69,20.42,5.45,2.75,11.77,5.85,1.08
nextdns,tcp,101.4,No,No,66.889,12.76,11.51,5.81,8.53,4.70,10.44,2.19,2.75,6.03,1.09,1.08
nextdns,tls,229.2,No,No,66.889,12.76,11.51,5.81,8.53,4.70,10.44,2.19,2.75,6.03,1.09,1.08
nextdns,udp,51.6,Yes,No,66.418,12.76,11.51,5.81,8.53,4.70,10.44,1.72,2.75,6.03,1.09,1.08
onedns,udp,286.4,Yes,No,13.150,1.05,1.04,1.01,1.01,1.00,1.00,2.94,1.05,1.00,1.00,1.05
opendns,rfc8484,762.6,No,No,160.589,28.03,29.51,25.27,2.98,21.69,24.19,5.78,2.75,11.77,7.54,1.08
opendns,tcp,93.8,No,No,19.027,1.05,1.04,1.01,1.01,4.70,1.05,1.00,1.05,1.00,5.06,1.05
opendns,udp,76.6,Yes,No,17.109,1.05,1.04,1.01,1.01,4.70,1.05,1.04,1.05,1.00,3.10,1.05
opennic,tcp,147.4,No,No,1636.001,835.57,753.50,4.49,8.53,4.70,11.48,1.03,2.75,11.77,1.11,1.08
opennic,udp,89.8,Yes,No,1643.385,835.57,753.50,4.71,8.53,4.70,11.48,6.95,2.75,11.77,2.35,1.08
quad9,rfc8484,577.4,No,Yes,169.457,32.71,29.50,20.67,13.54,21.69,24.19,6.07,2.75,11.77,5.49,1.08
quad9,tcp,194.8,No,No,94.021,23.35,21.06,4.71,8.53,4.70,11.48,2.13,2.75,11.77,2.46,1.08
quad9,tls,344.4,No,Yes,94.859,23.35,21.06,4.71,8.53,4.70,11.48,2.97,2.75,11.77,2.46,1.08
quad9,udp,101.6,Yes,Yes,94.636,23.35,21.06,4.71,8.53,4.70,11.48,2.75,2.75,11.77,2.46,1.08
safedns,tcp,601.4,No,Yes,187.667,44.38,40.03,30.99,13.54,4.70,29.77,1.00,2.75,11.77,7.65,1.08
safedns,udp,227.2,Yes,Yes,187.675,44.39,40.03,30.99,13.54,4.70,29.77,1.00,2.75,11.77,7.65,1.08
twnic,rfc8484,not available
twnic,tcp,2209.0,No,No,75.366,14.58,13.14,8.45,2.98,4.70,9.86,2.94,2.75,11.77,3.11,1.08
twnic,tls,not available,
twnic,udp,102.2,Yes,No,75.366,14.58,13.14,8.45,2.98,4.70,9.86,2.94,2.75,11.77,3.11,1.08
verisign,tcp,67.0,No,No,56.253,5.70,4.87,4.71,13.54,4.70,4.98,1.00,2.75,11.77,1.15,1.08
verisign,udp,43.4,Yes,No,56.253,5.70,4.87,4.71,13.54,4.70,4.98,1.00,2.75,11.77,1.15,1.08
yandex,tcp,not available
yandex,udp,not available
