114,tcp,298.2,No,No,1
114,udp,151.0,No,No,1
adguard,rfc8484,62.2,No,Yes,5
adguard,tcp,0.4,No,No,5
adguard,tls,78.4,No,No,5
adguard,udp,0.2,No,Yes,5
alidns,rfc8484,1527.6,No,Yes,1
alidns,tcp,611.75,No,Yes,0
alidns,tls,303.25,No,Yes,1
alidns,udp,123.0,Yes,Yes,1
baidu,udp,47.6,No,No,1
cloudflare,rfc8484,103.4,No,No,4
cloudflare,tcp,1.8,No,No,4
cloudflare,tls,344.4,No,No,4
cloudflare,udp,0.4,No,No,4
cnnic,udp,138.33333333333334,Yes,No,0
comodo,tcp,2.2,No,No,4
comodo,udp,1.0,No,No,4
containerpi,google,88.6,No,Yes,4
containerpi,rfc8484,301.0,No,No,4
containerpi,tls,110.2,No,No,4
dnslify,rfc8484,1023.8,No,No,1
dnslify,tcp,600.0,No,No,1
dnslify,udp,251.4,No,No,1
dnspai,udp,185.0,Yes,No,0
dnspod,tcp,106.0,Yes,No,0
dnspod,udp,49.2,Yes,Yes,4
dns.sb,rfc8484,not available,,,
dns-watch,tcp,519.0,No,No,0
dns-watch,udp,267.0,No,No,1
doh.li,rfc8484,1160.4,No,No,4
doh.li,tls,765.4,No,No,0
dyn,tcp,193.5,No,No,3
dyn,udp,89.8,No,No,4
freedns,udp,277.2,No,No,1
freenom,tcp,135.4,No,No,1
freenom,udp,67.2,No,No,1
google,google,98.6,No,Yes,3
google,rfc8484,114.8,No,Yes,3
google,tcp,2.0,No,Yes,4
google,tls,96.6,No,Yes,5
google,udp,0.0,No,Yes,5
he,rfc8484,77.8,No,No,4
he,tcp,0.8,No,No,3
he,udp,0.4,No,No,4
neustar,tcp,63.4,No,No,1
neustar,udp,30.8,No,No,0
nextdns,rfc8484,99.2,No,No,5
nextdns,tcp,1.4,No,No,5
nextdns,tls,75.2,No,No,4
nextdns,udp,1.0,No,No,5
onedns,udp,201.25,No,No,0
opendns,rfc8484,101.0,No,No,3
opendns,tcp,43.6,No,No,4
opendns,udp,74.6,No,No,5
opennic,tcp,92.6,No,No,5
opennic,udp,0.6,No,No,5
quad9,rfc8484,93.2,No,No,3
quad9,tcp,138.6,No,No,1
quad9,tls,196.4,No,No,3
quad9,udp,69.0,No,No,2
safedns,tcp,1.0,No,No,5
safedns,udp,0.0,No,No,5
twnic,rfc8484,331.0,No,No,1
twnic,tcp,3956.4,No,No,1
twnic,tls,208.0,No,Yes,1
twnic,udp,32.0,No,No,1
verisign,tcp,5.0,No,No,3
verisign,udp,1.6,No,No,3
yandex,tcp,578.4,No,No,1
yandex,udp,291.2,No,No,1
